LINHA,TIPO_EMBARCACAO,MAT_CASCO,COMPRIMENTO,BOCA,CALADO,PONTAL,POTENCIA,VELOCIDADE,NUM_PROP,TPB,DESLOC_LEVE,NUM_GERADORES,CAP_PASSAGEIROS,CAP_CARGA,TRIPULANTES,DURACAO_VIAGEM,CONSUMO_COMBUSTIVEL
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,5.2,1.7,2.3,280,14,1,109,21,1,100,88,4,12.0,225.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,16.5,4.3,0.7,1.17,114,8,1,109,21,1,35,90,3,8.0,140.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,18.0,4.0,1.0,1.3,690,15,1,109,21,1,30,8,3,12.0,140.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,27.0,6.3,1.2,1.9,315,13,1,109,21,2,88,90,4,12.0,300.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,15.0,3.4,1.5,1.8,230,30,1,109,21,1,30,5,3,9.0,300.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,23.37,5.8,1.55,1.83,180,17,1,109,21,1,100,70,7,12.0,300.0
MACAPA - ANAJAS,PASSAGEIRO/CARGA GERAL,MADEIRA,25.0,6.3,1.8,2.4,367,12,1,109,21,1,99,100,4,17.0,450.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,22.0,6.0,1.5,1.8,180,11,1,109,21,2,86,60,5,12.0,300.0
MACAPA - CHAVES,PASSAGEIRO/CARGA GERAL,MADEIRA,23.0,4.6,1.5,2.0,190,15,3,109,21,2,88,81,4,6.0,300.0
MACAPA - ANAJAS,PASSAGEIRO/CARGA GERAL,MADEIRA,27.0,6.8,1.2,2.1,315,15,2,109,21,2,140,120,5,14.0,600.0
MACAPA - CHAVES,PASSAGEIRO/CARGA GERAL,MADEIRA,24.0,6.8,1.7,1.9,190,15,1,109,21,1,105,80,5,6.0,250.0
MACAPA - AFUA,PASSAGEIRO/CARGA GERAL,MADEIRA,25.0,6.3,1.5,2.0,180,18,1,109,21,2,86,100,4,5.0,400.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,ACO NAVAL,30.0,5.0,1.3,1.8,470,12,1,330,64,1,120,80,4,14.0,300.0
MACAPA - BAILIQUE,PASSAGEIRO,MADEIRA,21.0,4.3,1.0,1.5,135,14,1,29,7,1,40,60,3,12.0,250.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,22.0,5.8,1.8,2.2,270,10,1,109,21,2,57,35,4,12.0,250.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,ACO NAVAL,23.4,6.65,1.55,2.5,270,25,1,330,64,2,123,80,3,12.0,250.0
